date,medium,path,identifier,category,name,artist,description,accession_number,source,license,depicted_place
1978-00-00,Foto,https://webservices.picturae.com/mediabank/media/99d33bf5-1854-4cb4-b288-e0cff4c3e9ef/downloadoriginal/46541c0a-3354-4523-90b4-982f64e27335?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99d33bf5-1854-4cb4-b288-e0cff4c3e9ef:963f7248-a263-11e0-bf4a-bde4fca6c222,Rijksmonumenten in Alkmaar,"Langestraat_93,_met_een_achtertuin_op_Breedstraat_46,_het_Moriaanshoofd,_tijdens_de_restauratie_van_-_RAA011003982_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Langestraat 93, met een achtertuin op Breedstraat 46, het Moriaanshoofd, tijdens de restauratie van 1978-1979. Interieur trappenhuis. De maatvoering van het stucwerk. Rijksmonument. Voorheen een voorname herberg voor officiële gasten van het stadsbestuur. In 1718 gekocht door Sijmon Schagen en Cornelia Kraft. In 1718-1720 verbouwd tot patriciërshuis. Van 1925-1968 Openbare Leeszaal en Bibliotheek. Van 1925-1966 ook Gemeentearchief. Na de restauratie van 1978-1979 deel van het stadhuis.}} {{Possible Rijksmonument | plaats = Alkmaar | provincie = NH }}",RAA011003982,View this picture on the website of the [https://hdl.handle.net/21.12106/99d33bf5-1854-4cb4-b288-e0cff4c3e9ef Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1987-00-00,Dia,https://webservices.picturae.com/mediabank/media/99dbf378-ae98-d513-3db3-0a2a4028a8e6/downloadoriginal/d9219023-5c5a-53b7-d138-95d6692f7ba1?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99dbf378-ae98-d513-3db3-0a2a4028a8e6:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Detail_baksteen_zijgevel_in_steeg_tussen_nummer_16-18_tijdens_restauratie_Tussen_ongeveer_de_jaren_1_-_RAA-DMGA-00996_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Detail baksteen zijgevel in steeg tussen nummer 16-18 tijdens restauratie Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}},RAA-DMGA-00996,View this picture on the website of the [https://hdl.handle.net/21.12106/99dbf378-ae98-d513-3db3-0a2a4028a8e6 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1980-11-25,Foto,https://webservices.picturae.com/mediabank/media/99e1fd3a-2e44-405a-b8f3-80a35ce79fbd/downloadoriginal/6e67f143-be96-4fcf-b7af-11bdaf37ad34?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99e1fd3a-2e44-405a-b8f3-80a35ce79fbd:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Sportaccomodatie_(zwembad)_de_Hoornse_Vaart_in_aanbouw._In_de_achtergrond_de_Hoornse_Vaart_met_molen_-_FO_1007886_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Sportaccomodatie (zwembad) de Hoornse Vaart in aanbouw. In de achtergrond de Hoornse Vaart met molen.}},FO 1007886,View this picture on the website of the [https://hdl.handle.net/21.12106/99e1fd3a-2e44-405a-b8f3-80a35ce79fbd Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1993-05-24,Negatief,https://webservices.picturae.com/mediabank/media/99e2cb10-94e9-4abf-9d10-19434e8bc7cf/downloadoriginal/96584f1a-84a7-4b18-836a-4a235e7a38f6?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99e2cb10-94e9-4abf-9d10-19434e8bc7cf:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,"Brouwerstraat_28._Voorgevel._In_de_voortuin_staat_een_bord_met_""verkocht""._-_FO1014497_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Brouwerstraat 28. Voorgevel. In de voortuin staat een bord met ""verkocht"".}}",FO1014497,View this picture on the website of the [https://hdl.handle.net/21.12106/99e2cb10-94e9-4abf-9d10-19434e8bc7cf Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1987-09-14,Negatief,https://webservices.picturae.com/mediabank/media/99e2cf90-6131-49c9-867e-b7baca468d3b/downloadoriginal/39e27b43-b439-486f-a658-35cb86dda816?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99e2cf90-6131-49c9-867e-b7baca468d3b:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Coornhertkade_77._-_FO1014662_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Coornhertkade 77.}},FO1014662,View this picture on the website of the [https://hdl.handle.net/21.12106/99e2cf90-6131-49c9-867e-b7baca468d3b Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1974-00-00,Dia,https://webservices.picturae.com/mediabank/media/99e5637c-aeca-cff8-0932-8a544a1f8a16/downloadoriginal/4295d017-da21-fb41-487b-d2f26948e895?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99e5637c-aeca-cff8-0932-8a544a1f8a16:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Stevenskerk_interieur_Tussen_ongeveer_de_jaren_1960_en_1990_heeft_de_Afdeling_Monumentenzorg_van_de_-_RAA-DMGA-00146_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Stevenskerk interieur Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}},RAA-DMGA-00146,View this picture on the website of the [https://hdl.handle.net/21.12106/99e5637c-aeca-cff8-0932-8a544a1f8a16 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},
2000-00-00,Foto,https://webservices.picturae.com/mediabank/media/99f34701-d370-405e-8b94-70c61580a006/downloadoriginal/2ebb3b1a-ab3f-4707-9d3b-c0799d6af088?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99f34701-d370-405e-8b94-70c61580a006:963f7248-a263-11e0-bf4a-bde4fca6c222,Rijksmonumenten in Alkmaar,"Oudegracht_214-216,_vrouwenklooster_van_de_zusters_van_Onze_Lieve_Vrouwe_van_Amersfoort_(OLV)._Inter_-_RAA011006300_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Oudegracht 214-216, vrouwenklooster van de zusters van Onze Lieve Vrouwe van Amersfoort (OLV). Interieur begane grond. De eetkamer. Rijksmonument. Klooster uit 1898.}} {{Possible Rijksmonument | plaats = Alkmaar | provincie = NH }}",RAA011006300,View this picture on the website of the [https://hdl.handle.net/21.12106/99f34701-d370-405e-8b94-70c61580a006 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1980-00-00,Dia,https://webservices.picturae.com/mediabank/media/99f39830-5e69-1f67-f080-f3f1cdc66a10/downloadoriginal/83af4f33-a783-5665-a7a0-83cd8824350d?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99f39830-5e69-1f67-f080-f3f1cdc66a10:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,"Reproductie_van_bouwtekening_""Voorgevel,_Doorsnede_AB""_Tussen_ongeveer_de_jaren_1960_en_1990_heeft_d_-_RAA-DMGA-00486_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Reproductie van bouwtekening ""Voorgevel, Doorsnede AB"" Tussen ongeveer de jaren 1960 en 1990 heeft de Afdeling Monumentenzorg van de Gemeente Alkmaar een uitvoerige dia-collectie aangelegd. Geregeld werden de dia's destijds gebruikt bij presentaties voor publiek. Om deze presentaties samen te stellen werden de dia's vaak uit hun serieverband gehaald waardoor chronologie etc. uiteindelijk verloren is gegaan. Door de dia's te digitaliseren en beschrijven wordt uiteindelijk een reconstructie mogelijk.}}",RAA-DMGA-00486,View this picture on the website of the [https://hdl.handle.net/21.12106/99f39830-5e69-1f67-f080-f3f1cdc66a10 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1996-11-19,Foto,https://webservices.picturae.com/mediabank/media/99f78a87-786e-4fea-839a-f14b31718cb9/downloadoriginal/05052943-65bb-421e-bd73-7fc21bb897a0?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99f78a87-786e-4fea-839a-f14b31718cb9:963f7248-a263-11e0-bf4a-bde4fca6c222,Alkmaar,Emmastraat_69._-_RAA011000887_-_RAA_Elsinga.jpg,{{Creator:J. Elsinga}},{{nl|1=Emmastraat 69.}},RAA011000887,View this picture on the website of the [https://hdl.handle.net/21.12106/99f78a87-786e-4fea-839a-f14b31718cb9 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
1981-02-11,Foto,https://webservices.picturae.com/mediabank/media/99fbd253-6997-49eb-b900-f2f53d9de417/downloadoriginal/898074f1-12a6-4afc-b806-e8f2d24574c5?apiKey=6074ee2a-12da-11e7-a85c-60f81db16928,oai:99fbd253-6997-49eb-b900-f2f53d9de417:963f7248-a263-11e0-bf4a-bde4fca6c222,Rijksmonumenten in Alkmaar,"Koorstraat_2,_hoek_Kerkplein,_Bagijnenstraat_en_Kerkstraat,_de_Grote-_of_Sint_Laurenskerk._Interieur_-_RAA011003206_-_RAA_Elsinga.jpg",{{Creator:J. Elsinga}},"{{nl|1=Koorstraat 2, hoek Kerkplein, Bagijnenstraat en Kerkstraat, de Grote- of Sint Laurenskerk. Interieur. Het aangetastte gewelf, bij de voet van de kap. Rijksmonument. De kerk is gebouwd tussen 1470 en 1518.}} {{Possible Rijksmonument | plaats = Alkmaar | provincie = NH }}",RAA011003206,View this picture on the website of the [https://hdl.handle.net/21.12106/99fbd253-6997-49eb-b900-f2f53d9de417 Regional Archief Alkmaar] CC-O declaration can be found in the disclaimer of [https://www.regionaalarchiefalkmaar.nl/disclaimer?fbclid=IwAR248LwdG9Ecq3micqEqcJwJj3i4AlzmsVVR0b6Plur5tpC4CUu1EKvhNq4 the website of the archive].,{{Cc-zero}},Alkmaar
